code,ticker_tse,company_name,sector,date,close,volume,price_file
4689,4689.T,LY CORP.,Services,2026-03-25,392.30,18120400,data/prices/stooq/jp/4689.csv
4704,4704.T,TREND MICRO INC.,Services,2026-03-25,5323.00,1063000,data/prices/stooq/jp/4704.csv
4751,4751.T,"CYBERAGENT, INC.",Services,2026-03-25,1371.50,2806000,data/prices/stooq/jp/4751.csv
4755,4755.T,"RAKUTEN GROUP, INC.",Services,2026-03-25,751.10,13771800,data/prices/stooq/jp/4755.csv
4901,4901.T,FUJIFILM HOLDINGS CORP.,Chemicals,2026-03-25,2975.50,3816400,data/prices/stooq/jp/4901.csv
4902,4902.T,"KONICA MINOLTA, INC.",Precision Instruments,2026-03-25,515.20,2327200,data/prices/stooq/jp/4902.csv
4911,4911.T,"SHISEIDO CO., LTD.",Chemicals,2026-03-25,3046.00,2188700,data/prices/stooq/jp/4911.csv
5019,5019.T,"IDEMITSU KOSAN CO., LTD.",Petroleum,2026-03-25,1488.50,4293500,data/prices/stooq/jp/5019.csv
5020,5020.T,"ENEOS HOLDINGS, INC.",Petroleum,2026-03-25,1376.00,8116700,data/prices/stooq/jp/5020.csv
5101,5101.T,"THE YOKOHAMA RUBBER CO., LTD.",Rubber,2026-03-25,6245.00,799200,data/prices/stooq/jp/5101.csv
5108,5108.T,BRIDGESTONE CORP.,Rubber,2026-03-25,3342.00,3357600,data/prices/stooq/jp/5108.csv
5201,5201.T,AGC INC.,Glass & Ceramics,2026-03-25,5652.00,1190600,data/prices/stooq/jp/5201.csv
5214,5214.T,"NIPPON ELECTRIC GLASS CO., LTD.",Glass & Ceramics,2026-03-25,6386.00,412400,data/prices/stooq/jp/5214.csv
5233,5233.T,TAIHEIYO CEMENT CORP.,Glass & Ceramics,2026-03-25,3572.00,782800,data/prices/stooq/jp/5233.csv
5301,5301.T,"TOKAI CARBON CO., LTD.",Glass & Ceramics,2026-03-25,948.80,1141800,data/prices/stooq/jp/5301.csv
5332,5332.T,TOTO LTD.,Glass & Ceramics,2026-03-25,5903.00,1302400,data/prices/stooq/jp/5332.csv
5333,5333.T,"NGK INSULATORS, LTD.",Glass & Ceramics,2026-03-25,4162.00,1154300,data/prices/stooq/jp/5333.csv
5401,5401.T,NIPPON STEEL CORP.,Steel,2026-03-25,594.60,25020100,data/prices/stooq/jp/5401.csv
5406,5406.T,"KOBE STEEL, LTD.",Steel,2026-03-25,1957.00,4155200,data/prices/stooq/jp/5406.csv
5411,5411.T,"JFE HOLDINGS, INC.",Steel,2026-03-25,1887.00,4747700,data/prices/stooq/jp/5411.csv
5631,5631.T,"THE JAPAN STEEL WORKS, LTD.",Machinery,2026-03-25,9552.00,1613900,data/prices/stooq/jp/5631.csv
5706,5706.T,"MITSUI KINZOKU CO., LTD.",Nonferrous Metals,2026-03-25,31630.00,1966200,data/prices/stooq/jp/5706.csv
5711,5711.T,MITSUBISHI MATERIALS CORP.,Nonferrous Metals,2026-03-25,5185.00,1845400,data/prices/stooq/jp/5711.csv
5713,5713.T,"SUMITOMO METAL MINING CO., LTD.",Nonferrous Metals,2026-03-25,9240.00,4209600,data/prices/stooq/jp/5713.csv
5714,5714.T,"DOWA HOLDINGS CO., LTD.",Nonferrous Metals,2026-03-25,9394.00,464300,data/prices/stooq/jp/5714.csv
5801,5801.T,"FURUKAWA ELECTRIC CO., LTD.",Nonferrous Metals,2026-03-25,31240.00,6757600,data/prices/stooq/jp/5801.csv
5802,5802.T,"SUMITOMO ELECTRIC IND., LTD.",Nonferrous Metals,2026-03-25,10210.00,5844000,data/prices/stooq/jp/5802.csv
5803,5803.T,FUJIKURA LTD.,Nonferrous Metals,2026-03-25,27475.00,9657200,data/prices/stooq/jp/5803.csv
5831,5831.T,"SHIZUOKA FINANCIAL GROUP, INC.",Banking,2026-03-25,2672.50,1517900,data/prices/stooq/jp/5831.csv
